store,store_type,date,hour,persona,passers,enters
零食店-长沙银杉路店,零食店,2026-03-29,22,退休老人,0,3
零食店-长沙银杉路店,零食店,2026-03-29,22,中青年,47,10
零食店-长沙银杉路店,零食店,2026-03-29,22,上班族,35,7
零食店-长沙银杉路店,零食店,2026-03-29,22,学生,0,3
零食店-长沙银杉路店,零食店,2026-03-29,23,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-29,23,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-29,23,中青年,0,0
零食店-长沙银杉路店,零食店,2026-03-29,23,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-29,23,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,0,家庭主妇,8,0
零食店-长沙银杉路店,零食店,2026-03-30,0,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,0,中青年,10,0
零食店-长沙银杉路店,零食店,2026-03-30,0,上班族,2,0
零食店-长沙银杉路店,零食店,2026-03-30,0,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,1,家庭主妇,4,0
零食店-长沙银杉路店,零食店,2026-03-30,1,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,1,中青年,3,0
零食店-长沙银杉路店,零食店,2026-03-30,1,上班族,6,0
零食店-长沙银杉路店,零食店,2026-03-30,1,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,2,家庭主妇,6,0
零食店-长沙银杉路店,零食店,2026-03-30,2,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,2,中青年,0,0
零食店-长沙银杉路店,零食店,2026-03-30,2,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-30,2,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,3,家庭主妇,4,0
零食店-长沙银杉路店,零食店,2026-03-30,3,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,3,中青年,1,0
零食店-长沙银杉路店,零食店,2026-03-30,3,上班族,1,0
零食店-长沙银杉路店,零食店,2026-03-30,3,学生,1,0
零食店-长沙银杉路店,零食店,2026-03-30,4,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-30,4,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,4,中青年,0,0
零食店-长沙银杉路店,零食店,2026-03-30,4,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-30,4,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,5,家庭主妇,2,0
零食店-长沙银杉路店,零食店,2026-03-30,5,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,5,中青年,1,0
零食店-长沙银杉路店,零食店,2026-03-30,5,上班族,2,0
零食店-长沙银杉路店,零食店,2026-03-30,5,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,6,家庭主妇,50,0
零食店-长沙银杉路店,零食店,2026-03-30,6,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,6,中青年,12,0
零食店-长沙银杉路店,零食店,2026-03-30,6,上班族,15,0
零食店-长沙银杉路店,零食店,2026-03-30,6,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,7,家庭主妇,34,0
零食店-长沙银杉路店,零食店,2026-03-30,7,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-30,7,中青年,51,2
零食店-长沙银杉路店,零食店,2026-03-30,7,上班族,277,4
零食店-长沙银杉路店,零食店,2026-03-30,7,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-30,8,家庭主妇,120,7
